associated_id,term,type
DB00001,Lepirudin,drug_common_name
DB00001,Hirudin variant-1,drug_synonym
DB00001,Lepirudin recombinant,drug_synonym
DB00002,Cetuximab,drug_common_name
DB00002,Cetuximab,drug_synonym
DB00002,Cétuximab,drug_synonym
DB00002,Cetuximabum,drug_synonym
DB00002,"Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer",drug_synonym
DB00003,Dornase alfa,drug_common_name
DB00003,Deoxyribonuclease (human clone 18-1 protein moiety),drug_synonym
DB00003,"Dornase alfa, recombinant",drug_synonym
DB00003,Dornase alpha,drug_synonym
DB00003,Recombinant deoxyribonuclease (DNAse),drug_synonym
DB00004,Denileukin diftitox,drug_common_name
DB00004,Diphtheria toxin precursor,drug_synonym
DB00004,DT,drug_synonym
DB00004,NAD(+--diphthamide ADP- ribosyltransferase),drug_synonym
DB00005,Etanercept,drug_common_name
DB00005,CD120b,drug_synonym
DB00005,p75,drug_synonym
DB00005,p80 TNF-alpha receptor,drug_synonym
DB00005,TNF-R2,drug_synonym
DB00005,Tumor necrosis factor receptor 2,drug_synonym
DB00005,Tumor necrosis factor receptor superfamily member 1B precursor,drug_synonym
DB00005,Tumor necrosis factor receptor type II,drug_synonym
DB00006,Bivalirudin,drug_common_name
DB00006,Bivalirudina,drug_synonym
DB00006,Bivalirudinum,drug_synonym
DB00006,Hirulog,drug_synonym
DB00007,Leuprolide,drug_common_name
DB00007,"(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone",drug_synonym
DB00007,L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide,drug_synonym
DB00007,Leuprorelin,drug_synonym
DB00007,Leuprorelina,drug_synonym
DB00007,Leuproreline,drug_synonym
DB00007,Leuprorelinum,drug_synonym
DB00007,PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5,drug_synonym
DB00007,PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet,drug_synonym
