associated_id,term,type
1,A1BG,ENTREZID
2,A2M,ENTREZID
3,A2MP1,ENTREZID
9,NAT1,ENTREZID
10,NAT2,ENTREZID
11,NATP,ENTREZID
12,SERPINA3,ENTREZID
13,AADAC,ENTREZID
14,AAMP,ENTREZID
15,AANAT,ENTREZID
16,AARS,ENTREZID
17,AAVS1,ENTREZID
18,ABAT,ENTREZID
19,ABCA1,ENTREZID
20,ABCA2,ENTREZID
21,ABCA3,ENTREZID
22,ABCB7,ENTREZID
23,ABCF1,ENTREZID
24,ABCA4,ENTREZID
25,ABL1,ENTREZID
26,AOC1,ENTREZID
27,ABL2,ENTREZID
28,ABO,ENTREZID
29,ABR,ENTREZID
30,ACAA1,ENTREZID
31,ACACA,ENTREZID
32,ACACB,ENTREZID
33,ACADL,ENTREZID
34,ACADM,ENTREZID
35,ACADS,ENTREZID
36,ACADSB,ENTREZID
37,ACADVL,ENTREZID
38,ACAT1,ENTREZID
39,ACAT2,ENTREZID
40,ASIC2,ENTREZID
41,ASIC1,ENTREZID
43,ACHE,ENTREZID
46,ACLS,ENTREZID
47,ACLY,ENTREZID
48,ACO1,ENTREZID
49,ACR,ENTREZID
50,ACO2,ENTREZID
51,ACOX1,ENTREZID
52,ACP1,ENTREZID
53,ACP2,ENTREZID
54,ACP5,ENTREZID
55,ACPP,ENTREZID
56,ACRV1,ENTREZID
58,ACTA1,ENTREZID
59,ACTA2,ENTREZID
60,ACTB,ENTREZID
62,ACTBP2,ENTREZID
63,ACTBP3,ENTREZID
64,ACTBP4,ENTREZID
66,ACTBP6,ENTREZID
67,ACTBP7,ENTREZID
68,ACTBP8,ENTREZID
69,ACTBP9,ENTREZID
70,ACTC1,ENTREZID
71,ACTG1,ENTREZID
72,ACTG2,ENTREZID
73,ACTG1P1,ENTREZID
74,ACTG1P2,ENTREZID
75,ACTG1P3,ENTREZID
78,ACTG1P6,ENTREZID
79,ACTG1P7,ENTREZID
80,ACTG1P8,ENTREZID
81,ACTN4,ENTREZID
82,ACTG1P9,ENTREZID
83,ACTG1P10,ENTREZID
86,ACTL6A,ENTREZID
87,ACTN1,ENTREZID
88,ACTN2,ENTREZID
89,ACTN3,ENTREZID
90,ACVR1,ENTREZID
91,ACVR1B,ENTREZID
92,ACVR2A,ENTREZID
93,ACVR2B,ENTREZID
94,ACVRL1,ENTREZID
95,ACY1,ENTREZID
97,ACYP1,ENTREZID
98,ACYP2,ENTREZID
100,ADA,ENTREZID
101,ADAM8,ENTREZID
102,ADAM10,ENTREZID
103,ADAR,ENTREZID
104,ADARB1,ENTREZID
105,ADARB2,ENTREZID
106,ADCP1,ENTREZID
107,ADCY1,ENTREZID
108,ADCY2,ENTREZID
109,ADCY3,ENTREZID
111,ADCY5,ENTREZID
112,ADCY6,ENTREZID
113,ADCY7,ENTREZID
114,ADCY8,ENTREZID
115,ADCY9,ENTREZID
116,ADCYAP1,ENTREZID
117,ADCYAP1R1,ENTREZID
118,ADD1,ENTREZID
119,ADD2,ENTREZID
120,ADD3,ENTREZID
122,ADFN,ENTREZID
123,PLIN2,ENTREZID
124,ADH1A,ENTREZID
125,ADH1B,ENTREZID
126,ADH1C,ENTREZID
127,ADH4,ENTREZID
128,ADH5,ENTREZID
130,ADH6,ENTREZID
131,ADH7,ENTREZID
132,ADK,ENTREZID
133,ADM,ENTREZID
134,ADORA1,ENTREZID
135,ADORA2A,ENTREZID
136,ADORA2B,ENTREZID
137,ADORA2BP1,ENTREZID
140,ADORA3,ENTREZID
141,ADPRH,ENTREZID
142,PARP1,ENTREZID
143,PARP4,ENTREZID
144,PARP1P1,ENTREZID
145,PARP1P2,ENTREZID
146,ADRA1D,ENTREZID
147,ADRA1B,ENTREZID
148,ADRA1A,ENTREZID
150,ADRA2A,ENTREZID
151,ADRA2B,ENTREZID
152,ADRA2C,ENTREZID
153,ADRB1,ENTREZID
154,ADRB2,ENTREZID
155,ADRB3,ENTREZID
156,GRK2,ENTREZID
157,GRK3,ENTREZID
158,ADSL,ENTREZID
159,ADSS,ENTREZID
160,AP2A1,ENTREZID
161,AP2A2,ENTREZID
162,AP1B1,ENTREZID
163,AP2B1,ENTREZID
164,AP1G1,ENTREZID
165,AEBP1,ENTREZID
166,AES,ENTREZID
167,CRISP1,ENTREZID
169,AF8T,ENTREZID
170,AFA,ENTREZID
171,AFD1,ENTREZID
172,AFG3L1P,ENTREZID
173,AFM,ENTREZID
174,AFP,ENTREZID
175,AGA,ENTREZID
176,ACAN,ENTREZID
177,AGER,ENTREZID
178,AGL,ENTREZID
179,AGMX2,ENTREZID
181,AGRP,ENTREZID
182,JAG1,ENTREZID
183,AGT,ENTREZID
185,AGTR1,ENTREZID
186,AGTR2,ENTREZID
187,APLNR,ENTREZID
189,AGXT,ENTREZID
190,NR0B1,ENTREZID
191,AHCY,ENTREZID
192,AIC,ENTREZID
196,AHR,ENTREZID
197,AHSG,ENTREZID
199,AIF1,ENTREZID
201,AIH3,ENTREZID
202,CRYBG1,ENTREZID
203,AK1,ENTREZID
204,AK2,ENTREZID
205,AK4,ENTREZID
206,AK4P1,ENTREZID
207,AKT1,ENTREZID
208,AKT2,ENTREZID
210,ALAD,ENTREZID
211,ALAS1,ENTREZID
212,ALAS2,ENTREZID
213,ALB,ENTREZID
214,ALCAM,ENTREZID
215,ABCD1,ENTREZID
216,ALDH1A1,ENTREZID
217,ALDH2,ENTREZID
218,ALDH3A1,ENTREZID
219,ALDH1B1,ENTREZID
220,ALDH1A3,ENTREZID
221,ALDH3B1,ENTREZID
222,ALDH3B2,ENTREZID
223,ALDH9A1,ENTREZID
224,ALDH3A2,ENTREZID
225,ABCD2,ENTREZID
226,ALDOA,ENTREZID
228,ALDOAP2,ENTREZID
229,ALDOB,ENTREZID
230,ALDOC,ENTREZID
231,AKR1B1,ENTREZID
236,AKR1B1P2,ENTREZID
238,ALK,ENTREZID
239,ALOX12,ENTREZID
240,ALOX5,ENTREZID
241,ALOX5AP,ENTREZID
242,ALOX12B,ENTREZID
243,ALOX12P1,ENTREZID
245,ALOX12P2,ENTREZID
246,ALOX15,ENTREZID
247,ALOX15B,ENTREZID
248,ALPI,ENTREZID
249,ALPL,ENTREZID
250,ALPP,ENTREZID
251,ALPPL2,ENTREZID
253,ALS3,ENTREZID
255,ALS5,ENTREZID
257,ALX3,ENTREZID
258,AMBN,ENTREZID
259,AMBP,ENTREZID
261,AMCN,ENTREZID
262,AMD1,ENTREZID
263,AMD1P2,ENTREZID
265,AMELX,ENTREZID
266,AMELY,ENTREZID
267,AMFR,ENTREZID
268,AMH,ENTREZID
269,AMHR2,ENTREZID
270,AMPD1,ENTREZID
271,AMPD2,ENTREZID
272,AMPD3,ENTREZID
273,AMPH,ENTREZID
274,BIN1,ENTREZID
275,AMT,ENTREZID
276,AMY1A,ENTREZID
277,AMY1B,ENTREZID
278,AMY1C,ENTREZID
279,AMY2A,ENTREZID
280,AMY2B,ENTREZID
281,AMYP1,ENTREZID
282,ANCR,ENTREZID
283,ANG,ENTREZID
284,ANGPT1,ENTREZID
285,ANGPT2,ENTREZID
286,ANK1,ENTREZID
287,ANK2,ENTREZID
288,ANK3,ENTREZID
289,ANOP1,ENTREZID
290,ANPEP,ENTREZID
291,SLC25A4,ENTREZID
292,SLC25A5,ENTREZID
293,SLC25A6,ENTREZID
301,ANXA1,ENTREZID
302,ANXA2,ENTREZID
303,ANXA2P1,ENTREZID
304,ANXA2P2,ENTREZID
305,ANXA2P3,ENTREZID
306,ANXA3,ENTREZID
307,ANXA4,ENTREZID
308,ANXA5,ENTREZID
309,ANXA6,ENTREZID
310,ANXA7,ENTREZID
311,ANXA11,ENTREZID
312,ANXA13,ENTREZID
313,AOAH,ENTREZID
314,AOC2,ENTREZID
316,AOX1,ENTREZID
317,APAF1,ENTREZID
318,NUDT2,ENTREZID
319,APOF,ENTREZID
320,APBA1,ENTREZID
321,APBA2,ENTREZID
322,APBB1,ENTREZID
323,APBB2,ENTREZID
324,APC,ENTREZID
325,APCS,ENTREZID
326,AIRE,ENTREZID
327,APEH,ENTREZID
328,APEX1,ENTREZID
329,BIRC2,ENTREZID
330,BIRC3,ENTREZID
331,XIAP,ENTREZID
332,BIRC5,ENTREZID
333,APLP1,ENTREZID
334,APLP2,ENTREZID
335,APOA1,ENTREZID
336,APOA2,ENTREZID
337,APOA4,ENTREZID
338,APOB,ENTREZID
339,APOBEC1,ENTREZID
341,APOC1,ENTREZID
342,APOC1P1,ENTREZID
343,AQP8,ENTREZID
344,APOC2,ENTREZID
345,APOC3,ENTREZID
346,APOC4,ENTREZID
347,APOD,ENTREZID
348,APOE,ENTREZID
350,APOH,ENTREZID
351,APP,ENTREZID
353,APRT,ENTREZID
354,KLK3,ENTREZID
355,FAS,ENTREZID
356,FASLG,ENTREZID
357,SHROOM2,ENTREZID
358,AQP1,ENTREZID
359,AQP2,ENTREZID
360,AQP3,ENTREZID
361,AQP4,ENTREZID
362,AQP5,ENTREZID
363,AQP6,ENTREZID
364,AQP7,ENTREZID
366,AQP9,ENTREZID
367,AR,ENTREZID
368,ABCC6,ENTREZID
369,ARAF,ENTREZID
372,ARCN1,ENTREZID
373,TRIM23,ENTREZID
374,AREG,ENTREZID
375,ARF1,ENTREZID
377,ARF3,ENTREZID
378,ARF4,ENTREZID
379,ARL4D,ENTREZID
380,ARF4P1,ENTREZID
381,ARF5,ENTREZID
382,ARF6,ENTREZID
383,ARG1,ENTREZID
384,ARG2,ENTREZID
387,RHOA,ENTREZID
388,RHOB,ENTREZID
389,RHOC,ENTREZID
390,RND3,ENTREZID
391,RHOG,ENTREZID
392,ARHGAP1,ENTREZID
393,ARHGAP4,ENTREZID
394,ARHGAP5,ENTREZID
395,ARHGAP6,ENTREZID
396,ARHGDIA,ENTREZID
397,ARHGDIB,ENTREZID
398,ARHGDIG,ENTREZID
399,RHOH,ENTREZID
400,ARL1,ENTREZID
401,PHOX2A,ENTREZID
402,ARL2,ENTREZID
403,ARL3,ENTREZID
405,ARNT,ENTREZID
406,ARNTL,ENTREZID
407,ARR3,ENTREZID
408,ARRB1,ENTREZID
409,ARRB2,ENTREZID
410,ARSA,ENTREZID
411,ARSB,ENTREZID
412,STS,ENTREZID
413,ARSC2,ENTREZID
414,ARSD,ENTREZID
415,ARSE,ENTREZID
416,ARSF,ENTREZID
417,ART1,ENTREZID
418,ART2P,ENTREZID
419,ART3,ENTREZID
420,ART4,ENTREZID
421,ARVCF,ENTREZID
424,ARVD3,ENTREZID
425,ARVD4,ENTREZID
427,ASAH1,ENTREZID
429,ASCL1,ENTREZID
430,ASCL2,ENTREZID
431,ASD1,ENTREZID
432,ASGR1,ENTREZID
433,ASGR2,ENTREZID
434,ASIP,ENTREZID
435,ASL,ENTREZID
436,ASLP1,ENTREZID
438,ASMT,ENTREZID
439,ASNA1,ENTREZID
440,ASNS,ENTREZID
442,ASNSP2,ENTREZID
443,ASPA,ENTREZID
444,ASPH,ENTREZID
445,ASS1,ENTREZID
447,ASS1P2,ENTREZID
449,ASS1P4,ENTREZID
450,ASS1P5,ENTREZID
451,ASS1P6,ENTREZID
453,ASS1P8,ENTREZID
454,ASS1P9,ENTREZID
455,ASS1P10,ENTREZID
459,ASS1P14,ENTREZID
460,ASTN1,ENTREZID
462,SERPINC1,ENTREZID
463,ZFHX3,ENTREZID
465,ATD,ENTREZID
466,ATF1,ENTREZID
467,ATF3,ENTREZID
468,ATF4,ENTREZID
469,ATF4P1,ENTREZID
470,ATHS,ENTREZID
471,ATIC,ENTREZID
472,ATM,ENTREZID
473,RERE,ENTREZID
474,ATOH1,ENTREZID
475,ATOX1,ENTREZID
476,ATP1A1,ENTREZID
477,ATP1A2,ENTREZID
478,ATP1A3,ENTREZID
479,ATP12A,ENTREZID
480,ATP1A4,ENTREZID
481,ATP1B1,ENTREZID
482,ATP1B2,ENTREZID
483,ATP1B3,ENTREZID
484,ATP1B3P1,ENTREZID
485,ATP1B1P1,ENTREZID
486,FXYD2,ENTREZID
487,ATP2A1,ENTREZID
488,ATP2A2,ENTREZID
489,ATP2A3,ENTREZID
490,ATP2B1,ENTREZID
491,ATP2B2,ENTREZID
492,ATP2B3,ENTREZID
493,ATP2B4,ENTREZID
495,ATP4A,ENTREZID
496,ATP4B,ENTREZID
498,ATP5A1,ENTREZID
501,ALDH7A1,ENTREZID
504,ATP5A1P2,ENTREZID
506,ATP5B,ENTREZID
507,ATP5BP1,ENTREZID
509,ATP5C1,ENTREZID
513,ATP5D,ENTREZID
514,ATP5E,ENTREZID
515,ATP5F1,ENTREZID
516,ATP5G1,ENTREZID
517,ATP5G2,ENTREZID
518,ATP5G3,ENTREZID
520,ATP5G2P1,ENTREZID
521,ATP5I,ENTREZID
522,ATP5J,ENTREZID
523,ATP6V1A,ENTREZID
525,ATP6V1B1,ENTREZID
526,ATP6V1B2,ENTREZID
527,ATP6V0C,ENTREZID
528,ATP6V1C1,ENTREZID
529,ATP6V1E1,ENTREZID
533,ATP6V0B,ENTREZID
534,ATP6V1G2,ENTREZID
535,ATP6V0A1,ENTREZID
537,ATP6AP1,ENTREZID
538,ATP7A,ENTREZID
539,ATP5O,ENTREZID
540,ATP7B,ENTREZID
541,ALDH7A1P1,ENTREZID
542,ALDH7A1P2,ENTREZID
543,ALDH7A1P3,ENTREZID
544,ALDH7A1P4,ENTREZID
545,ATR,ENTREZID
546,ATRX,ENTREZID
547,KIF1A,ENTREZID
549,AUH,ENTREZID
550,AUP1,ENTREZID
551,AVP,ENTREZID
552,AVPR1A,ENTREZID
553,AVPR1B,ENTREZID
554,AVPR2,ENTREZID
558,AXL,ENTREZID
560,AZF1,ENTREZID
563,AZGP1,ENTREZID
566,AZU1,ENTREZID
567,B2M,ENTREZID
568,B2MR,ENTREZID
570,BAAT,ENTREZID
571,BACH1,ENTREZID
572,BAD,ENTREZID
573,BAG1,ENTREZID
574,BAGE,ENTREZID
575,ADGRB1,ENTREZID
576,ADGRB2,ENTREZID
577,ADGRB3,ENTREZID
578,BAK1,ENTREZID
579,NKX3-2,ENTREZID
580,BARD1,ENTREZID
581,BAX,ENTREZID
582,BBS1,ENTREZID
583,BBS2,ENTREZID
585,BBS4,ENTREZID
586,BCAT1,ENTREZID
587,BCAT2,ENTREZID
590,BCHE,ENTREZID
593,BCKDHA,ENTREZID
594,BCKDHB,ENTREZID
595,CCND1,ENTREZID
596,BCL2,ENTREZID
597,BCL2A1,ENTREZID
598,BCL2L1,ENTREZID
599,BCL2L2,ENTREZID
600,BAK1P1,ENTREZID
601,BAK1P2,ENTREZID
602,BCL3,ENTREZID
603,BCL5,ENTREZID
604,BCL6,ENTREZID
605,BCL7A,ENTREZID
606,NBEAP1,ENTREZID
607,BCL9,ENTREZID
608,TNFRSF17,ENTREZID
610,HCN2,ENTREZID
611,OPN1SW,ENTREZID
613,BCR,ENTREZID
616,BCRP4,ENTREZID
617,BCS1L,ENTREZID
618,BCYRN1,ENTREZID
619,BCYRN1P1,ENTREZID
620,BCYRN1P2,ENTREZID
622,BDH1,ENTREZID
623,BDKRB1,ENTREZID
624,BDKRB2,ENTREZID
627,BDNF,ENTREZID
628,BEVI,ENTREZID
629,CFB,ENTREZID
631,BFSP1,ENTREZID
632,BGLAP,ENTREZID
633,BGN,ENTREZID
634,CEACAM1,ENTREZID
635,BHMT,ENTREZID
636,BICD1,ENTREZID
637,BID,ENTREZID
638,BIK,ENTREZID
639,PRDM1,ENTREZID
640,BLK,ENTREZID
641,BLM,ENTREZID
642,BLMH,ENTREZID
643,CXCR5,ENTREZID
644,BLVRA,ENTREZID
645,BLVRB,ENTREZID
646,BNC1,ENTREZID
648,BMI1,ENTREZID
649,BMP1,ENTREZID
650,BMP2,ENTREZID
651,BMP3,ENTREZID
652,BMP4,ENTREZID
653,BMP5,ENTREZID
654,BMP6,ENTREZID
655,BMP7,ENTREZID
656,BMP8B,ENTREZID
657,BMPR1A,ENTREZID
658,BMPR1B,ENTREZID
659,BMPR2,ENTREZID
660,BMX,ENTREZID
661,POLR3D,ENTREZID
662,BNIP1,ENTREZID
663,BNIP2,ENTREZID
664,BNIP3,ENTREZID
665,BNIP3L,ENTREZID
666,BOK,ENTREZID
667,DST,ENTREZID
668,FOXL2,ENTREZID
669,BPGM,ENTREZID
670,BPHL,ENTREZID
671,BPI,ENTREZID
672,BRCA1,ENTREZID
673,BRAF,ENTREZID
675,BRCA2,ENTREZID
676,BRDT,ENTREZID
677,ZFP36L1,ENTREZID
678,ZFP36L2,ENTREZID
680,BRS3,ENTREZID
682,BSG,ENTREZID
683,BST1,ENTREZID
684,BST2,ENTREZID
685,BTC,ENTREZID
686,BTD,ENTREZID
687,KLF9,ENTREZID
688,KLF5,ENTREZID
689,BTF3,ENTREZID
690,BTF3P11,ENTREZID
693,BTF3P1,ENTREZID
694,BTG1,ENTREZID
695,BTK,ENTREZID
696,BTN1A1,ENTREZID
698,BTS1,ENTREZID
699,BUB1,ENTREZID
700,BVR1,ENTREZID
701,BUB1B,ENTREZID
705,BYSL,ENTREZID
706,TSPO,ENTREZID
708,C1QBP,ENTREZID
710,SERPING1,ENTREZID
711,ERC2-IT1,ENTREZID
712,C1QA,ENTREZID
713,C1QB,ENTREZID
714,C1QC,ENTREZID
715,C1R,ENTREZID
716,C1S,ENTREZID
717,C2,ENTREZID
718,C3,ENTREZID
719,C3AR1,ENTREZID
720,C4A,ENTREZID
721,C4B,ENTREZID
722,C4BPA,ENTREZID
724,C4BPAP2,ENTREZID
725,C4BPB,ENTREZID
726,CAPN5,ENTREZID
727,C5,ENTREZID
728,C5AR1,ENTREZID
729,C6,ENTREZID
730,C7,ENTREZID
731,C8A,ENTREZID
732,C8B,ENTREZID
733,C8G,ENTREZID
734,OSGIN2,ENTREZID
735,C9,ENTREZID
738,VPS51,ENTREZID
740,MRPL49,ENTREZID
741,ZNHIT2,ENTREZID
744,MPPED2,ENTREZID
745,MYRF,ENTREZID
746,TMEM258,ENTREZID
747,DAGLA,ENTREZID
750,GAS8-AS1,ENTREZID
752,FMNL1,ENTREZID
753,LDLRAD4,ENTREZID
754,PTTG1IP,ENTREZID
755,C21orf2,ENTREZID
757,TMEM50B,ENTREZID
758,MPPED1,ENTREZID
759,CA1,ENTREZID
760,CA2,ENTREZID
761,CA3,ENTREZID
762,CA4,ENTREZID
763,CA5A,ENTREZID
764,CA5AP1,ENTREZID
765,CA6,ENTREZID
766,CA7,ENTREZID
767,CA8,ENTREZID
768,CA9,ENTREZID
770,CA11,ENTREZID
771,CA12,ENTREZID
772,CACD,ENTREZID
773,CACNA1A,ENTREZID
774,CACNA1B,ENTREZID
775,CACNA1C,ENTREZID
776,CACNA1D,ENTREZID
777,CACNA1E,ENTREZID
778,CACNA1F,ENTREZID
779,CACNA1S,ENTREZID
780,DDR1,ENTREZID
781,CACNA2D1,ENTREZID
782,CACNB1,ENTREZID
783,CACNB2,ENTREZID
784,CACNB3,ENTREZID
785,CACNB4,ENTREZID
786,CACNG1,ENTREZID
788,SLC25A20,ENTREZID
789,SLC25A20P1,ENTREZID
790,CAD,ENTREZID
793,CALB1,ENTREZID
794,CALB2,ENTREZID
795,S100G,ENTREZID
796,CALCA,ENTREZID
797,CALCB,ENTREZID
798,CALCP,ENTREZID
799,CALCR,ENTREZID
800,CALD1,ENTREZID
801,CALM1,ENTREZID
802,CALM1P1,ENTREZID
804,CALM1P2,ENTREZID
805,CALM2,ENTREZID
806,CALM2P2,ENTREZID
807,CALM2P3,ENTREZID
808,CALM3,ENTREZID
810,CALML3,ENTREZID
811,CALR,ENTREZID
813,CALU,ENTREZID
814,CAMK4,ENTREZID
815,CAMK2A,ENTREZID
816,CAMK2B,ENTREZID
817,CAMK2D,ENTREZID
818,CAMK2G,ENTREZID
819,CAMLG,ENTREZID
820,CAMP,ENTREZID
821,CANX,ENTREZID
822,CAPG,ENTREZID
823,CAPN1,ENTREZID
824,CAPN2,ENTREZID
