trial_number,drug_id,start_char,end_char,recognised_text
ACTRN12605000001695,DB00441,0,11,Gemcitabine
ACTRN12605000001695,DB00515,55,64,cisplatin
ACTRN12605000003673,DB00630,155,166,alendronate
ACTRN12605000003673,DB01217,269,280,anastrozole
ACTRN12605000003673,DB00630,420,431,alendronate
ACTRN12605000004662,DB00945,165,172,aspirin
ACTRN12605000004662,DB01109,357,364,heparin
ACTRN12605000004662,DB00682,369,377,warfarin
ACTRN12605000005651,DB00158,268,278,folic acid
ACTRN12605000005651,DB00158,440,450,folic acid
ACTRN12605000005651,DB00165,456,466,vitamin B6
ACTRN12605000005651,DB00115,476,487,vitamin B12
ACTRN12605000014651,DB00860,0,12,Prednisolone
ACTRN12605000017628,DB00169,66,76,vitamin D3
ACTRN12605000021673,DB00099,449,454,G-CSF
ACTRN12605000024640,DB13144,7,18,Lenograstim
ACTRN12605000025639,DB01101,143,155,capecitabine
ACTRN12605000025639,DB00112,160,171,bevacizumab
ACTRN12605000025639,DB01101,195,207,capecitabine
ACTRN12605000025639,DB00305,209,220,Mitomycin C
ACTRN12605000025639,DB00305,222,225,MMC
ACTRN12605000025639,DB00112,231,242,bevacizumab
ACTRN12605000025639,DB01101,257,269,capecitabine
ACTRN12605000026628,DB00441,154,165,gemcitabine
ACTRN12605000026628,DB00526,187,198,oxaliplatin
ACTRN12605000026628,DB00441,455,466,gemcitabine
ACTRN12605000026628,DB00526,488,499,oxaliplatin
ACTRN12605000028606,DB00718,54,72,adefovir dipivoxil
ACTRN12605000029695,DB00718,54,72,adefovir dipivoxil
ACTRN12605000030673,DB00149,294,305,L-Mefolinic
ACTRN12605000030673,DB00158,312,318,folate
ACTRN12605000030673,DB00115,328,342,cyanocobalamin
ACTRN12605000030673,DB00165,352,361,pyridoxol
ACTRN12605000034639,DB01234,182,195,dexamethasone
ACTRN12605000036617,DB00586,23,33,Diclofenac
ACTRN12605000036617,DB00586,118,128,Diclofenac
ACTRN12605000042640,DB10345,0,10,House dust
ACTRN12605000042640,DB11133,30,48,omega-3 fatty acid
ACTRN12605000045617,DB00158,46,52,folate
ACTRN12605000047695,DB00184,0,8,Nicotine
ACTRN12605000050651,DB00975,110,119,persantin
ACTRN12605000050651,DB09161,120,129,Sestamibi
ACTRN12605000050651,DB00841,134,144,dobutamine
ACTRN12605000050651,DB00099,224,229,G-CSF
ACTRN12605000050651,DB00099,407,412,G-CSF
ACTRN12605000055606,DB09140,6,12,Oxygen
ACTRN12605000055606,DB09140,48,54,Oxygen
ACTRN12605000058673,DB00653,0,17,Magnesium sulfate
ACTRN12605000058673,DB01378,51,60,magnesium
ACTRN12605000058673,DB01378,91,100,magnesium
ACTRN12605000060640,DB00099,146,151,G-CSF
ACTRN12605000060640,DB00099,182,187,G-CSF
ACTRN12605000060640,DB00099,321,326,G-CSF
ACTRN12605000061639,DB09341,113,121,dextrose
ACTRN12605000061639,DB09341,267,275,dextrose
ACTRN12605000062628,DB00668,0,10,Adrenaline
ACTRN12605000065695,DB00454,129,138,pethidine
ACTRN12605000065695,DB00297,149,160,bupivacaine
ACTRN12605000065695,DB00813,177,185,fentanyl
ACTRN12605000065695,DB00297,197,208,bupivacaine
ACTRN12605000065695,DB00454,250,259,pethidine
ACTRN12605000065695,DB00813,313,321,fentanyl
ACTRN12605000070639,DB00755,31,54,all-trans retinoic acid
ACTRN12605000070639,DB00755,56,60,ATRA
ACTRN12605000070639,DB01177,63,73,idarubicin
ACTRN12605000070639,DB01169,78,94,arsenic trioxide
ACTRN12605000070639,DB00755,217,221,ATRA
ACTRN12605000070639,DB00635,273,283,Prednisone
ACTRN12605000070639,DB01033,406,422,6-mercaptopurine
ACTRN12605000070639,DB00563,436,448,methotrexate
ACTRN12605000070639,DB00755,465,469,ATRA
ACTRN12605000071628,DB00619,45,53,Imatinib
ACTRN12605000074695,DB02772,38,45,sucrose
ACTRN12605000074695,DB02772,256,263,sucrose
ACTRN12605000074695,DB02772,557,564,sucrose
ACTRN12605000075684,DB00635,45,55,Prednisone
ACTRN12605000075684,DB00635,69,79,Prednisone
ACTRN12605000076673,DB00860,18,30,Prednisolone
ACTRN12605000077662,DB11921,18,29,Deflazacort
ACTRN12605000077662,DB00635,33,43,prednisone
ACTRN12605000078651,DB00806,32,46,Oxpentifylline
ACTRN12605000079640,DB00683,323,332,midazolam
ACTRN12605000079640,DB00813,337,345,fentanyl
ACTRN12605000079640,DB00134,1134,1137,met
ACTRN12605000088640,DB09567,120,129,olive oil
ACTRN12605000088640,DB09270,295,309,Coenzyme Q10 (
ACTRN12605000088640,DB00159,624,627,EPA
ACTRN12605000088640,DB03756,636,639,DHA
ACTRN12605000088640,DB00163,652,668,alpha tocopherol
ACTRN12605000090617,DB00898,124,131,alcohol
ACTRN12605000093684,DB00163,70,86,alpha-tocopherol
ACTRN12605000093684,DB11251,99,109,tocopherol
ACTRN12605000093684,DB11251,131,141,tocopherol
ACTRN12605000095662,DB01177,33,43,Idarubicin
ACTRN12605000095662,DB01177,149,159,Idarubicin
ACTRN12605000095662,DB00987,171,181,cytarabine
ACTRN12605000095662,DB00773,187,196,etoposide
ACTRN12605000095662,DB00987,310,320,cytarabine
ACTRN12605000095662,DB00773,322,331,etoposide
ACTRN12605000095662,DB01177,337,347,Idarubicin
ACTRN12605000105640,DB00531,121,137,cyclophosphamide
ACTRN12605000105640,DB00541,139,150,vincristine
ACTRN12605000105640,DB00997,152,163,doxorubicin
ACTRN12605000105640,DB01234,168,181,dexamethasone
ACTRN12605000105640,DB00563,215,227,methotrexate
ACTRN12605000105640,DB00987,242,262,cytosine arabinoside
ACTRN12605000106639,DB00526,0,11,Oxaliplatin
ACTRN12605000106639,DB00526,269,280,Oxaliplatin
ACTRN12605000106639,DB00544,302,314,fluorouracil
ACTRN12605000106639,DB00544,780,794,5-fluorouracil
ACTRN12605000106639,DB00526,956,967,Oxaliplatin
ACTRN12605000106639,DB00544,1085,1099,5-fluorouracil
ACTRN12605000119695,DB00762,66,76,irinotecan
ACTRN12605000119695,DB00544,197,201,5-FU
ACTRN12605000119695,DB00762,244,254,irinotecan
ACTRN12605000119695,DB00762,381,391,irinotecan
ACTRN12605000119695,DB00762,533,543,irinotecan
ACTRN12605000119695,DB00762,622,632,irinotecan
ACTRN12605000119695,DB00762,662,672,irinotecan
ACTRN12605000120673,DB09140,442,448,oxygen
ACTRN12605000125628,DB10573,87,93,tomato
ACTRN12605000125628,DB10573,183,189,tomato
ACTRN12605000125628,DB11231,219,227,lycopene
ACTRN12605000132640,DB04398,289,300,lactic acid
ACTRN12605000133639,DB01109,54,61,heparin
ACTRN12605000133639,DB09341,81,88,glucose
ACTRN12605000137695,DB06782,1205,1208,BAL
ACTRN12605000137695,DB06782,1949,1952,BAL
ACTRN12605000138684,DB00619,58,66,Imatinib
ACTRN12605000138684,DB00135,259,267,tyrosine
ACTRN12605000141640,DB01024,122,135,Mycophenolate
ACTRN12605000141640,DB00091,175,186,Cyclosporin
ACTRN12605000141640,DB01590,230,240,Everolimus
ACTRN12605000141640,DB00091,322,333,Cyclosporin
ACTRN12605000142639,DB00515,164,173,cisplatin
ACTRN12605000142639,DB00773,175,184,etoposide
ACTRN12605000142639,DB00290,189,198,bleomycin
ACTRN12605000142639,DB00134,316,319,met
ACTRN12605000148673,DB01001,276,288,Salbutamol 5
ACTRN12605000148673,DB00332,295,314,Ipratropium bromide
ACTRN12605000150640,DB00683,203,212,midazolam
ACTRN12605000150640,DB00813,213,221,fentanyl
ACTRN12605000150640,DB00818,222,230,propofol
ACTRN12605000150640,DB09140,281,287,oxygen
ACTRN12605000152628,DB00987,59,69,Cytarabine
ACTRN12605000152628,DB01073,74,85,Fludarabine
ACTRN12605000152628,DB00987,178,188,Cytarabine
ACTRN12605000152628,DB01073,214,225,fludarabine
ACTRN12605000152628,DB00987,228,238,cytarabine
ACTRN12605000153617,DB00975,11,23,Dipyridamole
ACTRN12605000153617,DB09161,117,132,99mTc Sestamibi
ACTRN12605000153617,DB00975,135,147,Dipyridamole
ACTRN12605000153617,DB09161,187,196,Sestamibi
ACTRN12605000162617,DB00207,76,88,azithromycin
ACTRN12605000164695,DB10553,2350,2356,Peanut
ACTRN12605000164695,DB10977,2621,2630,Chocolate
ACTRN12605000164695,DB10977,2642,2647,cocoa
ACTRN12605000164695,DB10553,2708,2714,peanut
ACTRN12605000164695,DB01373,2895,2902,Calcium
ACTRN12605000164695,DB11094,2907,2916,Vitamin D
ACTRN12605000164695,DB11094,2930,2939,Vitamin D
ACTRN12605000164695,DB11094,2967,2976,Vitamin D
ACTRN12605000164695,DB01373,3044,3051,Calcium
ACTRN12605000164695,DB01373,3073,3080,Calcium
ACTRN12605000164695,DB00843,4351,4360,donepezil
ACTRN12605000164695,DB01373,6402,6409,calcium
ACTRN12605000165684,DB00945,335,342,aspirin
ACTRN12605000165684,DB00945,722,729,aspirin
ACTRN12605000168651,DB09341,242,249,glucose
ACTRN12605000169640,DB00441,96,107,Gemcitabine
ACTRN12605000169640,DB00958,120,131,Carboplatin
ACTRN12605000169640,DB00441,144,155,Gemcitabine
ACTRN12605000169640,DB00441,174,195,Gemcitabine 1000mg/m2
ACTRN12605000169640,DB00958,198,213,Carboplatin AUC
ACTRN12605000169640,DB00441,224,245,Gemcitabine 1000mg/m2
ACTRN12605000169640,DB00441,288,299,Gemcitabine
ACTRN12605000169640,DB00441,392,407,Gemcitabine 200
ACTRN12605000169640,DB00441,574,589,Gemcitabine 200
ACTRN12605000170628,DB01029,32,42,Irbesartan
ACTRN12605000174684,DB01132,0,12,Pioglitazone
ACTRN12605000175673,DB01076,0,15,Atorvastatin 80
ACTRN12605000175673,DB01029,21,31,Irbesartan
ACTRN12605000184673,DB00898,83,90,alcohol
ACTRN12605000184673,DB00898,155,162,alcohol
ACTRN12605000204640,DB01136,117,127,carvedilol
ACTRN12605000205639,DB09140,81,87,oxygen
ACTRN12605000206628,DB00294,314,326,etonogestrel
ACTRN12605000206628,DB00834,527,539,Mifepristone
ACTRN12605000206628,DB00254,665,676,Doxycycline
ACTRN12605000206628,DB00254,717,728,Doxycycline
ACTRN12605000206628,DB00254,793,804,doxycycline
ACTRN12605000206628,DB00254,843,854,Doxycycline
ACTRN12605000206628,DB00834,866,878,mifepristone
ACTRN12605000206628,DB00254,916,927,doxycycline
ACTRN12605000207617,DB11133,50,57,omega-3
ACTRN12605000208606,DB00399,16,27,zoledronate
ACTRN12605000208606,DB11094,118,128,calciferol
ACTRN12605000208606,DB01373,147,154,calcium
ACTRN12605000211662,DB00620,664,677,triamcinolone
ACTRN12605000211662,DB00620,877,890,triamcinolone
ACTRN12605000211662,DB00620,1031,1044,Triamcinolone
ACTRN12605000211662,DB00620,1074,1087,triamcinolone
ACTRN12605000211662,DB00620,1274,1287,triamcinolone
ACTRN12605000215628,DB09140,427,433,oxygen
ACTRN12605000215628,DB09140,521,527,oxygen
ACTRN12605000216617,DB00675,425,434,tamoxifen
ACTRN12605000216617,DB01217,563,574,anastrozole
ACTRN12605000216617,DB01217,1043,1056,Anastrozole 1
ACTRN12605000216617,DB01217,1064,1075,Anastrozole
ACTRN12605000217606,DB00586,23,33,Diclofenac
ACTRN12605000217606,DB00296,69,80,Ropivacaine
ACTRN12605000218695,DB00412,4,17,rosiglitazone
ACTRN12605000219684,DB00331,16,25,metformin
ACTRN12605000220662,DB01221,47,55,ketamine
ACTRN12605000221651,DB00818,12,20,propofol
ACTRN12605000222640,DB01217,62,73,anastrozole
