actrnumber,study_title,interventions,intervention_codes,eligibity_inclusive,eligibity_exclusive
ACTRN12605000001695,A phase II trial of gemcitabine in a fixed dose rate infusion combined with cisplatin in patients with operable biliary tract carcinomas,Gemcitabine delivered as fixed dose-rate infusion with cisplatin,CODE: Treatment: drugs,Histologic or cytologic diagnosis of adenocarcinogen of the gallbladder or intra/extrahepatic bile ducts with locally advanced or metastatic disease that is not amenable to curative surgical resection or with recurrent disease after prior surgical resection or radiotherapy. Measurable disease.,No exclusion criteria
ACTRN12605000003673,Bisphosphonate and Anastrozole trial - Bone Maintenance Algorithm Assessment,"This trial aims to assess the utility, through DEXA scans and biochemical markers of bone turnover, of a strategy of monitoring and intervention with oral alendronate in postmenopausal women with hormone-receptor positive breast cancer receiving five years of adjuvant anastrozole. It specifically addressed the issues of osteopaenic and osteoporotic women in this setting and will test three years versus five years of alendronate use.",CODE: Treatment: drugs,Postmenopausal women- Adequately diagnosed and treated Stage I-IIIa early breast cancer- Oestrogen receptor and/or progesterone receptor positive breast cancer- Anastrozole is clinically indicated to be the best adjuvant strategy,Clinical or radiological evidence of distant spread- prior treatment with bisphosphonates within the past 12 months
ACTRN12605000025639,The MAX study,"The MAX study is a multi-centre, stratified, randomised, phase II/III study that aims to compare the safety and efficacy of the combination of capecitabine and bevacizumab and the combination of capecitabine, Mitomycin C (MMC) and bevacizumab, with that of capecitabine monotherapy in patients with previously untreated metastatic colorectal cancer.  Treatment will continue until disease progression, unless there is unacceptable toxicity or either the patient or physician requests cessation of treatment.",CODE: Treatment: drugs,"a)Histological diagnosis of metastatic colorectal cancer. b)Any patient in whom the investigator considers capecitabine monotherapy appropriate. c)Evaluable or non-evaluable disease as assessed by CT scan. d)ECOG performance status 0, 1 or 2.  Patients with PS2 should have serum albumin >30 g/L. e)No prior chemotherapy agents or anti-angiogenic biological agents (e.g. anti VEGF) for treatment of advanced disease. Adjuvant chemotherapy (including antiangiogenic therapy) which was completed > 6 months ago is allowed. f)Adequate bone marrow function with platelets > 100 X 109/l; neutrophils > 1.5 X 109/l. g)Adequate renal function, with calculated creatinine clearance >30 ml/min (Cockcroft and Gault). For patients with creatinine clearance <50 ml/min the starting dose of capecitabine may not be greater than 2000 mg/m2/d (See section 6.1) h)Adequate hepatic function with serum total bilirubin < 1.5 X upper limit of normal range. i)Life expectancy of at least 12 weeks. j)No concurrent uncontrolled medical conditions. k)No previous malignant disease other than non-melanotic skin cancer or carcinoma in situ of the uterine cervix or any other cancer treated with curative intent >2 years previously without evidence of relapse. l)Women and partners of women of childbearing potential must agree to use adequate contraception. m)Written informed consent.",No exclusion criteria
ACTRN12605000026628,Phase II study of fixed dose rate Gemcitabine-Oxaliplatin Integrated with concomitant 5FU and 3-D Conformal Radiotherapy for the treatment of localised pancreatic cancer: GOFURTGO,"All patients enrolled in the study will receive the same treatment consisting of all of the following:
a) 1 cycle of chemotherapy: the cycle is 28 days (gemcitabine on days 1 and 15 and oxaliplatin on days 2 and 16, followed by:
b)radiotherpay plus continuous 5FU infusion: 5FU is given continuously (7 days a week for 6 weeks), radiotherpay is given 5 days a week (Mon-Fri) for 6 weeks followed by:
c) 3 cycles of chemotherapy: each cycle is 28 days (gemcitabine on days 1 and 15 and oxaliplatin on days 2 and 16",CODE: Treatment: Other,"Patient must have histologically/cytologically proven adenocarcinoma of the pancreas located in the head or the body of the pancreas (primary) or in the pancreatic bed (locally recurrent).Locoregional disease must be confirmed by dual phase CT (arterial and portal phases) without distant metastases (confirmed by CT of the chest, abdomen and pelvis).Patients must be assessed by a surgeon and considered inoperable.Performance status must be ECOG grade 0, 1 or 2.","1.Histological types other than pancreatic ductal adenocarcinoma
2. Metastatic disease.
3. Tumours of the tail of pancreas
4. Major co-morbid illnesses that, in the opinion of the investigator, would jeopardise the likely completion of the treatment program
5. Patients with peripheral sensory neuropathy with functional impairment.
6. Derangement of LFTs consistent with hepatic cellular dysfunction (ALT and/or AST >3 times upper limit of normal), or a bilirubin >3 times upper limit of normal. Patients with LFTs consistent with hepatic obstruction that is relieved (eg. by stenting, bypass) are eligible, provided the bilirubin has fallen to <3 times upper limit of normal.
7. Patients with significant loss of bodyweight, who, at the investigators discretion, is deemed 	not suitable for this study (eg.>15% weight loss since surgery or diagnosis)
8. Treatment with a drug within the last 30 days that has not received regulatory approval at the time of study entry.
9. Treatment with any previous cytotoxic chemotherapy for this malignancy. Previous hormonal manipulation (including HRT) is allowed.
10. Previous abdominal radiotherapy
11. A previous history of malignancy other than non-melanomatous skin cancers, in situ carcinoma, or patients who are diseasefree from non-pancreatic tumours treated definitively more than 5 years ago.
12. Pregnant or lactating women, or women of childbearing potential not using adequate contraception."
ACTRN12605000041651,Phase II trial of Pegasys in Glivec responsive chronic phase chronic myeloid leukaemia,To establish whether the addition of the long activing interferon Pegasys is both safe and can improve molecular remission status in CML patients in good remission on Glivec.,CODE: Treatment: drugs,"All of the following criteria must be met: Cohort One: 1. Chronic Myeloid Leukemia with Philadelphia chromosome translocation or bcr-abl transcript at diagnosis; 2. Treated with Glivec®, as a single agent at 600 mg or maximum tolerated dose for at least 6 months; 3. Achieved complete cytogenetic response on Glivec® therapy AND not previously in accelerated phase or blast crisis; 4. Sustained complete cytogenetic response for at least 6 months, confirmed by bone marrow studies at screening visit for this study; 5. No past toxicity higher than Grade III related to high dose (>6MU/d) alpha- interferon therapy. No post toxicity higher than Grade II related to low dose  (3MU/day or less) alpha-interferon therapy; 6. Persisting detectable bcr/abl transcripts by Q-PCR. 7. Patients must have adequate renal function i.e creatinine < 2 xULN 8. Adequate hepatic function, with serum bilirubin, AST and ALT each < 2 x  the    upper limit of their normal range (ULN) at the laboratory where the analyses were performed.
Cohort Two: 1. Chronic Myeloid Leukemia with Philadelphia chromosome translocation or bcr-abl transcript at diagnosis; 2. Treated with Glivec®, as a single agent at 600 mg or maximum tolerated dose for at least 6 months; 3. Achieved near complete cytogenetic response on Glivec® therapy OR Achieved a complete cytogenetic response on Glivec® therapy AND previously in accelerated phase or blast crisis; 4. Sustained complete or near-complete cytogenetic response for at least 6 months, confirmed by bone marrow studies at screening visit for this study; 5. No past toxicity higher than Grade III related to high dose (>6MU/d) alpha-interferon therapy. No post toxicity higher than Grade II related to low dose (3MU/day or less) alpha-interferon therapy; 6. Persisting detectable bcr/abl transcripts by Q-PCR.   7. Patients must have adequate renal function i.e creatinine < 2 xULN 8. Adequate hepatic function, with serum bilirubin, AST and ALT each < 2 x  the    upper limit of their normal range (ULN) at the laboratory where the analyses were performed;",
ACTRN12605000052639,Headaches after lumbar puncture,"This is a double blind, randomised crossover trial. A single experienced doctor will perform all of the lumbar punctures (LP) under general anaesthesia. A standard LP needle (PORTLAND) will be used. Orientation of the bevel will be parallel to the long axis of the dural fibres. The doctor cannot be blinded to the needle type. All children will be given a sequence of 4 LP's during their treatment for cancer. Twice with each of the 22g and 25g LP needles. Following each procedure, parents will be given a 1 page questionnaire by the RA. The same RA will phone interview them on days 1, 3, and 7 with the same questions. On day 7 more detailed questions will be asked if the patient experiences any headache. These questions will look into issues such as, timing of headache, analgesia required and functional impact on the family.",CODE: Diagnosis / Prognosis,"Children having LP's as standard treatment for malignancies, requiring general anaesthesia, in the day surgery unit.",Families requiring interpreters. Patients requiring bone marrow aspirate and trephines on the same day. Unavailability of designated experienced doctor. Patients requiring emergency LP's in other anaesthetising locations.Patients with existing lumbar puncture headaches.
ACTRN12605000070639,Acute Promyelocytic Leukaemia APML4 Protocol,"A single arm phase II study of all-trans retinoic acid (ATRA), idarubicin and arsenic trioxide (As2O3) over 36 days as induction therapy for acute promyelocytic leukaemia, followed by two cycles of consolidation with ATRA and As2O3 (over 28 days and 35 days respectively). Prednisone is administered during induction for all patients. Consolidation is followed by 2 years of maintenance therapy with daily 6-mercaptopurine, once weekly methotrexate, and 2 weeks of ATRA every 3 months. Bone marrow sampling for molecular monitoring is performed after each cycle of induction and consolidation, and then every 3 months for 2 years.",CODE: Treatment: drugs,"1. Morphological diagnosis of APL, either classical FAB-M3 or variant FAB-M3v. The leukaemia must have occurred de novo, with no previous history of preleukaemia, myelodysplasia, or myeloproliferative disorder. 2. Demonstration of PML-RARA fusion transcripts by reverse transcriptase-polymerase chain reaction (RT-PCR). 3. ECOG performance status 0-3. 4. Absence of previous history of serious cardiac, pulmonary, hepatic or renal disease, and absence of history of grand mal seizures. A serum creatinine >200umol/L or serum bilirubin >50umol/L precludes entry into the study, unless medically correctable. 5. A left ventricular ejection fraction of at least 50% as demonstrated by gated heart pool scan (preferably) or cardiac ultrasound. 6. ECG showing sinus rhythm and Q-Tc interval <500msec. Prolongation of Q-Tc due to medication or electrolyte disturbance must be corrected before registration. 7. No previous treatment for APL, or history of cancer (other than basal cell skin cancer, or carcinoma of cervix in situ). 8. No contra-indication to use of any of the study drugs. 9.  A negative pregnancy test in females of child-bearing age. 10. Written informed consent",No exclusion criteria
ACTRN12605000070639,Acute Promyelocytic Leukaemia APML4 Protocol,"A single arm phase II study of all-trans retinoic acid (ATRA), idarubicin and arsenic trioxide (As2O3) over 36 days as induction therapy for acute promyelocytic leukaemia, followed by two cycles of consolidation with ATRA and As2O3 (over 28 days and 35 days respectively). Prednisone is administered during induction for all patients. Consolidation is followed by 2 years of maintenance therapy with daily 6-mercaptopurine, once weekly methotrexate, and 2 weeks of ATRA every 3 months. Bone marrow sampling for molecular monitoring is performed after each cycle of induction and consolidation, and then every 3 months for 2 years.",CODE: Treatment: drugs,"1. Morphological diagnosis of APL, either classical FAB-M3 or variant FAB-M3v. The leukaemia must have occurred de novo, with no previous history of preleukaemia, myelodysplasia, or myeloproliferative disorder. 2. Demonstration of PML-RARA fusion transcripts by reverse transcriptase-polymerase chain reaction (RT-PCR). 3. ECOG performance status 0-3. 4. Absence of previous history of serious cardiac, pulmonary, hepatic or renal disease, and absence of history of grand mal seizures. A serum creatinine >200umol/L or serum bilirubin >50umol/L precludes entry into the study, unless medically correctable. 5. A left ventricular ejection fraction of at least 50% as demonstrated by gated heart pool scan (preferably) or cardiac ultrasound. 6. ECG showing sinus rhythm and Q-Tc interval <500msec. Prolongation of Q-Tc due to medication or electrolyte disturbance must be corrected before registration. 7. No previous treatment for APL, or history of cancer (other than basal cell skin cancer, or carcinoma of cervix in situ). 8. No contra-indication to use of any of the study drugs. 9.  A negative pregnancy test in females of child-bearing age. 10. Written informed consent",No exclusion criteria
ACTRN12605000071628,Pilot cml autograft/glivec (STI571)/Intron A trial,This study evaluates the addition of Glivec (Imatinib) at variable time points in the first weeks to months post autologous stem cell transplant to evaluate safety and efficacy in the treatment of Philadelphia chromosome positive leukemia.,CODE: Treatment: drugs,"1. Patients considered eligible for autologous transplantation by local institutional criteria. 2. Patients with a confirmed diagnosis of Ph chromosome-positive CML not in first chronic phase or Ph chromosome-positive ALL (or patients who are Ph chromosome-negative but BCR/ABL-positive). Patients with chronic phase Ph+ CML with development of resistance to Glivec will also be eligible. Patients with chronic phase CML who are primarily resistant to Glivec will also be eligible. 3. Cryopreserved autologous bone marrow or peripheral blood cells available which contain >2 x 106/L CD34+ cells or an equivalent number of CFU-GM/kg by local institutional criteria. 4. AST (SGOT) and ALT (SGPT) less than or equal to 3x the upper limit of the normal range (ULN) at the laboratory where the analyses were performed. In patients with clinically suspected leukaemic involvement of the liver, AST and ALT less than or equal to 5x the ULN. 5. Total serum bilirubin level less than or equal to 3x the ULN at the laboratory where the analysis was performed. 6. Serum creatinine less than or equal to 1.5 x the upper limit of normal 7. Patients of childbearing potential must have a negative pregnancy test prior to the initiation of study drug. Patients will need to use barrier contraceptive measures throughout the trial 8. Written voluntary informed consent.",No exclusion criteria
ACTRN12605000071628,Pilot cml autograft/glivec (STI571)/Intron A trial,This study evaluates the addition of Glivec (Imatinib) at variable time points in the first weeks to months post autologous stem cell transplant to evaluate safety and efficacy in the treatment of Philadelphia chromosome positive leukemia.,CODE: Treatment: drugs,"1. Patients considered eligible for autologous transplantation by local institutional criteria. 2. Patients with a confirmed diagnosis of Ph chromosome-positive CML not in first chronic phase or Ph chromosome-positive ALL (or patients who are Ph chromosome-negative but BCR/ABL-positive). Patients with chronic phase Ph+ CML with development of resistance to Glivec will also be eligible. Patients with chronic phase CML who are primarily resistant to Glivec will also be eligible. 3. Cryopreserved autologous bone marrow or peripheral blood cells available which contain >2 x 106/L CD34+ cells or an equivalent number of CFU-GM/kg by local institutional criteria. 4. AST (SGOT) and ALT (SGPT) less than or equal to 3x the upper limit of the normal range (ULN) at the laboratory where the analyses were performed. In patients with clinically suspected leukaemic involvement of the liver, AST and ALT less than or equal to 5x the ULN. 5. Total serum bilirubin level less than or equal to 3x the ULN at the laboratory where the analysis was performed. 6. Serum creatinine less than or equal to 1.5 x the upper limit of normal 7. Patients of childbearing potential must have a negative pregnancy test prior to the initiation of study drug. Patients will need to use barrier contraceptive measures throughout the trial 8. Written voluntary informed consent.",No exclusion criteria
