associated_id,term,type
A0A023W3H0,Class D OXA-48 carbapenemase,gene_common_name
A0A023W3H0,OXA-48,gene_symbol
A0A0E1R3H3,Penicillin-binding protein 3,gene_common_name
A0A0E1R3H3,pbpC,gene_symbol
A0A0H2UQB5,LicC protein,gene_common_name
A0A0H2UQB5,licC,gene_symbol
A0A0H2URW2,Uncharacterized protein,gene_common_name
A0A0H2URW2,NA,gene_symbol
A0A0H2WWQ9,Penicillin-binding protein 2,gene_common_name
A0A0H2WWQ9,pbp2,gene_symbol
A0A0H2XJ39,Penicillin-binding protein 3,gene_common_name
A0A0H2XJ39,pbp3,gene_symbol
A0A0H2Z368,Arylsulfate sulfotransferase AssT,gene_common_name
A0A0H2Z368,assT,gene_symbol
A0A0H3JRU9,Pyruvate carboxylase,gene_common_name
A0A0H3JRU9,pycA,gene_symbol
A0A0H3JWX6,NPQTN specific sortase B,gene_common_name
A0A0H3JWX6,srtB,gene_symbol
A0A0H3JWX6,NPQTN specific sortase B,gene_common_name
A0A0H3JWX6,srtB,gene_symbol
A0A0H3K1U2,3-hydroxy-3-methylglutaryl CoA synthase,gene_common_name
A0A0H3K1U2,mvaS,gene_symbol
A0A0H3K1U2,3-hydroxy-3-methylglutaryl CoA synthase,gene_common_name
A0A0H3K1U2,mvaS,gene_symbol
A0A0H3K1U2,3-hydroxy-3-methylglutaryl CoA synthase,gene_common_name
A0A0H3K1U2,mvaS,gene_symbol
A0A0M3KKX1,Dihydrofolate reductase,gene_common_name
A0A0M3KKX1,dfrB,gene_symbol
A0A0M3KKX1,Dihydrofolate reductase,gene_common_name
A0A0M3KKX1,dfrB,gene_symbol
A0A0M3KKX1,Dihydrofolate reductase,gene_common_name
A0A0M3KKX1,dfrB,gene_symbol
A0A0M3KKX1,Dihydrofolate reductase,gene_common_name
A0A0M3KKX1,dfrB,gene_symbol
A0A0M3KKX1,Dihydrofolate reductase,gene_common_name
A0A0M3KKX1,dfrB,gene_symbol
A0A1Q8GFY7,Multimodular transpeptidase-transglycosylase / Penicillin-binding protein 1A/1B (PBP1),gene_common_name
A0A1Q8GFY7,NA,gene_symbol
A0R559,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",gene_common_name
A0R559,ispF,gene_symbol
A1A2B5,Probable chorismate mutase,gene_common_name
A1A2B5,pheA,gene_symbol
A1Z199,BCR/ABL p210 fusion protein,gene_common_name
A1Z199,BCR/ABL fusion,gene_symbol
A2QLK4,"1,3-beta-glucan synthase component FKS1",gene_common_name
A2QLK4,fksA,gene_symbol
A2QLK4,"1,3-beta-glucan synthase component FKS1",gene_common_name
A2QLK4,fksA,gene_symbol
A2QLK4,"1,3-beta-glucan synthase component FKS1",gene_common_name
A2QLK4,fksA,gene_symbol
A3EZI9,Genome polyprotein,gene_common_name
A3EZI9,NS3,gene_symbol
A3FMN7,Restriction endonuclease R.BpuJI,gene_common_name
A3FMN7,bpuJIR,gene_symbol
A5HEI4,AtpH,gene_common_name
A5HEI4,atpH,gene_symbol
A5W4F4,Membrane protein involved in aromatic hydrocarbon degradation,gene_common_name
A5W4F4,NA,gene_symbol
A5X5Y0,5-hydroxytryptamine receptor 3E,gene_common_name
A5X5Y0,HTR3E,gene_symbol
A5X5Y0,5-hydroxytryptamine receptor 3E,gene_common_name
A5X5Y0,HTR3E,gene_symbol
A5X5Y0,5-hydroxytryptamine receptor 3E,gene_common_name
A5X5Y0,HTR3E,gene_symbol
A5X5Y0,5-hydroxytryptamine receptor 3E,gene_common_name
A5X5Y0,HTR3E,gene_symbol
A6PZ59,Rhesus blood group D antigen,gene_common_name
A6PZ59,RHD,gene_symbol
A6PZ59,Rhesus blood group D antigen,gene_common_name
A6PZ59,RHD,gene_symbol
A7B6P0,"EDD domain protein, DegV family",gene_common_name
A7B6P0,NA,gene_symbol
A7J8L3,Orf1a polyprotein,gene_common_name
A7J8L3,orf1ab,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3,gene_common_name
A8MPY1,GABRR3,gene_symbol
A9CJ63,Uncharacterized protein,gene_common_name
A9CJ63,NA,gene_symbol
A9JQL9,Dehydrosqualene synthase,gene_common_name
A9JQL9,crtM,gene_symbol
A9JQL9,Dehydrosqualene synthase,gene_common_name
A9JQL9,crtM,gene_symbol
A9JQL9,Dehydrosqualene synthase,gene_common_name
A9JQL9,crtM,gene_symbol
A9UF02,BCR/ABL fusion protein isoform X9,gene_common_name
A9UF02,BCR/ABL fusion,gene_symbol
B0B3C9,Genome polyprotein,gene_common_name
B0B3C9,NS3/4A,gene_symbol
B0B3C9,Genome polyprotein,gene_common_name
B0B3C9,NS3/4A,gene_symbol
B0B3C9,Genome polyprotein,gene_common_name
B0B3C9,NS3/4A,gene_symbol
B0B3C9,Genome polyprotein,gene_common_name
B0B3C9,NS3/4A,gene_symbol
B0B3C9,Genome polyprotein,gene_common_name
B0B3C9,NS3/4A,gene_symbol
B2ZTR6,Beta-lactamase,gene_common_name
B2ZTR6,NA,gene_symbol
B4DP61,Survival motor neuron protein,gene_common_name
B4DP61,SMN2,gene_symbol
B4YQT9,Gyrase A,gene_common_name
B4YQT9,NA,gene_symbol
B7JA91,Uncharacterized protein,gene_common_name
B7JA91,NA,gene_symbol
B7JBP8,Sulfide-quinone reductase,gene_common_name
B7JBP8,NA,gene_symbol
C0H419,Biotin/lipoyl attachment protein,gene_common_name
C0H419,yngHB,gene_symbol
C1KC03,Penicillin binding protein 2a,gene_common_name
C1KC03,mecA,gene_symbol
C1KC03,Penicillin binding protein 2a,gene_common_name
C1KC03,mecA,gene_symbol
C1KC03,Penicillin binding protein 2a,gene_common_name
C1KC03,mecA,gene_symbol
C1KC03,Penicillin binding protein 2a,gene_common_name
C1KC03,mecA,gene_symbol
C3T8E2,Multidrug resistance protein MdtK,gene_common_name
C3T8E2,mdtK,gene_symbol
C9EH48,Multidrug translocase MdfA,gene_common_name
C9EH48,mdfA,gene_symbol
D2YW37,Est1e,gene_common_name
D2YW37,NA,gene_symbol
D6R448,Penicillin-binding protein 2,gene_common_name
D6R448,mecA,gene_symbol
F1L7U3,Tubulin beta-2 chain,gene_common_name
F1L7U3,NA,gene_symbol
F7VJQ1,Alternative prion protein,gene_common_name
F7VJQ1,PRNP,gene_symbol
L0DSL2,Cytochrome c-552,gene_common_name
L0DSL2,nir,gene_symbol
O00141,Serine/threonine-protein kinase Sgk1,gene_common_name
O00141,SGK1,gene_symbol
O00141,Serine/threonine-protein kinase Sgk1,gene_common_name
O00141,SGK1,gene_symbol
O00141,Serine/threonine-protein kinase Sgk1,gene_common_name
O00141,SGK1,gene_symbol
O00142,"Thymidine kinase 2, mitochondrial",gene_common_name
O00142,TK2,gene_symbol
O00142,"Thymidine kinase 2, mitochondrial",gene_common_name
O00142,TK2,gene_symbol
O00142,"Thymidine kinase 2, mitochondrial",gene_common_name
O00142,TK2,gene_symbol
O00180,Potassium channel subfamily K member 1,gene_common_name
O00180,KCNK1,gene_symbol
O00180,Potassium channel subfamily K member 1,gene_common_name
O00180,KCNK1,gene_symbol
O00180,Potassium channel subfamily K member 1,gene_common_name
O00180,KCNK1,gene_symbol
O00182,Galectin-9,gene_common_name
O00182,LGALS9,gene_symbol
O00187,Mannan-binding lectin serine protease 2,gene_common_name
O00187,MASP2,gene_symbol
O00204,Sulfotransferase family cytosolic 2B member 1,gene_common_name
O00204,SULT2B1,gene_symbol
O00204,Sulfotransferase family cytosolic 2B member 1,gene_common_name
O00204,SULT2B1,gene_symbol
O00204,Sulfotransferase family cytosolic 2B member 1,gene_common_name
O00204,SULT2B1,gene_symbol
O00204,Sulfotransferase family cytosolic 2B member 1,gene_common_name
O00204,SULT2B1,gene_symbol
O00206,Toll-like receptor 4,gene_common_name
O00206,TLR4,gene_symbol
O00206,Toll-like receptor 4,gene_common_name
O00206,TLR4,gene_symbol
O00206,Toll-like receptor 4,gene_common_name
O00206,TLR4,gene_symbol
O00206,Toll-like receptor 4,gene_common_name
O00206,TLR4,gene_symbol
O00206,Toll-like receptor 4,gene_common_name
O00206,TLR4,gene_symbol
O00206,Toll-like receptor 4,gene_common_name
O00206,TLR4,gene_symbol
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",gene_common_name
O00217,NDUFS8,gene_symbol
O00222,Metabotropic glutamate receptor 8,gene_common_name
O00222,GRM8,gene_symbol
O00244,Copper transport protein ATOX1,gene_common_name
O00244,ATOX1,gene_symbol
O00244,Copper transport protein ATOX1,gene_common_name
O00244,ATOX1,gene_symbol
O00244,Copper transport protein ATOX1,gene_common_name
O00244,ATOX1,gene_symbol
O00264,Membrane-associated progesterone receptor component 1,gene_common_name
O00264,PGRMC1,gene_symbol
O00264,Membrane-associated progesterone receptor component 1,gene_common_name
O00264,PGRMC1,gene_symbol
O00299,Chloride intracellular channel protein 1,gene_common_name
O00299,CLIC1,gene_symbol
O00303,Eukaryotic translation initiation factor 3 subunit F,gene_common_name
